ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue,Response,Children,Customer_Age,Loyalty_Score,Eco_Friendly_Score,Recency_Score,Spending_Ratio,Income_Category
448,1978,Doctorate,Single,54880.0,1,0,2013-03-01,57,308,85,137,102,45,118,2,6,2,11,5,3,11,0,1,47,19,210.47,57,0.01,Low
8314,1982,Graduation,Married,79908.0,0,0,2013-04-05,30,557,129,761,29,185,111,1,5,6,7,2,3,11,0,0,43,18,353.65,30,0.02,Medium
8420,1970,2n Cycle,Married,15315.0,0,0,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,3,11,0,0,55,6,14.15,27,0.0,Very Low
3174,1959,Graduation,Together,87771.0,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,3,11,1,1,66,19,115.63,61,0.02,Medium
7685,1978,Graduation,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,3,11,0,1,47,6,20.71,4,0.0,Low
3179,1980,Graduation,Single,81741.0,0,0,2013-06-16,75,249,153,940,58,134,38,0,6,6,7,2,3,11,0,0,45,19,397.08,75,0.02,Medium
9780,1971,Graduate,Together,71499.0,0,1,2013-06-25,12,465,25,132,136,0,37,2,8,3,13,4,3,11,0,1,54,24,82.09,12,0.01,Medium
10681,1970,2n Cycle,Married,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,3,11,0,1,55,21,341.53,13,0.01,Medium
10232,1963,Doctorate,Divorced,48799.0,0,1,2013-11-05,9,174,18,81,28,6,24,3,3,2,7,3,3,11,0,1,62,12,46.6,9,0.01,Low
4184,1950,Doctorate,Together,52157.0,0,1,2014-06-07,48,189,2,29,3,2,40,2,3,2,5,4,3,11,0,1,75,10,6.34,48,0.01,Low
9120,1962,Graduation,Single,66565.0,0,1,2012-12-05,80,747,10,161,65,40,42,4,4,2,9,8,3,11,0,1,63,15,52.3,80,0.02,Medium
891,1951,Graduate,Together,29298.0,1,1,2013-09-07,60,6,0,2,2,0,1,1,1,0,2,5,3,11,0,2,74,3,0.47,60,0.0,Very Low
10381,1979,Graduation,Single,47691.0,0,1,2013-07-05,43,14,0,3,0,0,4,1,1,0,2,6,3,11,0,1,46,3,0.11,43,0.0,Low
3525,1970,Graduation,Together,38200.0,1,1,2012-12-07,19,12,0,4,0,0,1,1,1,0,2,7,3,11,0,2,55,3,0.15,19,0.0,Low
6818,1974,Graduation,Married,44989.0,0,1,2012-09-12,26,98,0,106,49,10,106,5,5,1,5,6,3,11,0,1,51,11,17.06,26,0.01,Low
3526,1968,Doctorate,Married,38443.0,1,1,2014-01-27,58,32,0,5,0,0,1,2,1,0,3,7,3,11,0,2,57,4,0.19,58,0.0,Low
8181,1978,2n Cycle,Single,38593.0,1,0,2013-09-13,42,51,12,49,17,24,24,3,4,1,3,8,3,11,0,1,47,8,37.21,42,0.0,Low
1029,1970,Doctorate,Together,64413.0,0,1,2013-08-01,27,200,5,44,0,10,20,1,5,1,5,5,3,11,0,1,55,11,14.96,27,0.0,Medium
7369,1981,Graduate,Married,36959.0,1,0,2013-10-02,56,25,6,25,6,0,0,2,2,0,3,8,3,11,0,1,44,5,14.13,56,0.0,Low
2574,1977,Doctorate,Married,61996.0,0,1,2013-01-31,27,1050,12,144,0,0,24,3,6,4,8,5,3,11,1,1,48,18,29.33,27,0.02,Medium
8159,1968,Graduation,Married,51287.0,1,1,2014-04-01,10,117,0,22,13,0,30,3,4,1,3,7,3,11,0,2,57,8,3.41,10,0.0,Low
1160,1970,Graduation,Married,13260.0,1,1,2013-08-23,48,9,4,17,10,2,7,4,3,0,3,8,3,11,0,2,55,6,11.3,48,0.0,Very Low
10242,1966,Doctorate,Together,47472.0,1,1,2013-09-16,39,56,0,11,0,0,8,2,2,0,4,5,3,11,0,2,59,6,0.41,39,0.0,Low
5253,1956,Graduate,Together,54603.0,1,1,2013-07-09,85,145,13,46,17,2,4,6,4,2,4,7,3,11,0,2,69,10,31.77,85,0.0,Low
5966,1974,Doctorate,Married,45207.0,1,1,2012-11-10,64,203,0,10,0,0,2,5,3,1,6,6,3,11,0,2,51,10,0.37,64,0.0,Low
5314,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,3,11,0,1,74,13,16.8,69,0.01,Low
5081,1967,2n Cycle,Together,47821.0,1,1,2013-10-20,54,9,0,16,6,6,10,1,1,0,3,8,3,11,0,2,58,4,3.79,54,0.0,Low
5123,1951,Graduate,Married,27450.0,0,0,2013-04-15,57,37,12,23,8,11,52,1,2,1,3,7,3,11,0,0,74,6,30.12,57,0.01,Very Low
5756,1983,Graduation,Together,39453.0,1,0,2014-04-03,64,46,0,7,0,0,2,2,2,0,3,6,3,11,0,1,42,5,0.26,64,0.0,Low
8036,1971,2n Cycle,Together,26850.0,1,1,2014-04-18,10,31,1,13,7,2,9,4,2,1,4,4,3,11,0,2,54,7,4.55,10,0.0,Very Low
9058,1955,Graduation,Widow,79800.0,0,0,2012-09-23,65,1060,21,530,32,0,224,1,5,11,5,3,3,11,1,0,70,21,68.03,65,0.02,Medium
5057,1961,Graduate,Married,61794.0,0,1,2013-09-14,74,264,47,188,54,47,11,2,4,4,10,2,3,11,0,1,64,18,127.43,74,0.01,Medium
254,1955,Graduation,Together,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,3,11,0,1,70,15,11.64,4,0.01,Low
4179,1959,Graduation,Together,24221.0,0,0,2013-08-20,94,8,9,9,2,5,22,1,1,1,3,4,3,11,0,0,66,5,20.4,94,0.0,Very Low
3710,1984,Doctorate,Single,39684.0,1,0,2012-10-12,41,19,0,35,6,4,17,2,2,1,2,7,3,11,1,1,41,5,3.83,41,0.0,Low
7627,1975,Graduate,Married,92163.0,0,0,2012-12-12,25,817,183,797,106,163,20,0,5,11,5,2,3,11,1,0,50,21,471.05,25,0.02,High
4501,1965,Graduate,Single,69882.0,0,0,2013-11-10,94,292,127,635,132,127,165,1,3,7,9,1,3,11,0,0,60,19,346.25,94,0.02,Medium
6424,1977,Graduation,Together,33178.0,1,0,2014-01-30,9,12,6,2,11,2,16,1,1,0,3,4,3,11,0,1,48,4,14.94,9,0.0,Low
3075,1972,Doctorate,Married,59973.0,0,0,2013-09-11,47,130,30,168,20,34,0,1,3,4,7,1,3,11,0,0,53,14,81.56,47,0.01,Low
4992,1975,Graduate,Together,17459.0,1,0,2013-09-19,12,6,4,16,3,10,30,3,3,1,2,7,3,11,1,1,50,6,12.53,12,0.0,Very Low
5252,1969,Graduation,Divorced,23910.0,1,0,2012-10-26,80,16,12,18,7,1,13,1,2,0,3,7,3,11,0,1,56,5,26.4,80,0.0,Very Low
7444,1969,Graduate,Married,42169.0,1,1,2013-10-19,20,19,0,9,0,0,2,2,1,0,3,8,3,11,0,2,56,4,0.33,20,0.0,Low
6919,1978,2n Cycle,Married,26224.0,1,0,2013-06-04,39,4,7,15,13,9,15,3,2,1,3,6,3,11,0,1,47,6,20.16,39,0.0,Very Low
3537,1981,Graduation,Together,31089.0,1,0,2012-08-17,57,31,3,31,2,8,4,3,3,0,4,8,3,11,0,1,44,7,10.21,57,0.0,Low
10277,1961,Graduation,Single,30081.0,0,1,2013-02-21,27,36,0,2,0,0,4,1,1,0,3,7,3,11,0,1,64,4,0.07,27,0.0,Low
2453,1960,Graduation,Together,62807.0,0,1,2012-08-31,83,526,28,135,10,21,99,3,5,3,12,5,3,11,0,1,65,20,70.0,83,0.01,Medium
7972,1955,Graduation,Single,72906.0,0,0,2013-09-17,79,400,32,519,71,75,54,1,3,4,9,1,3,11,0,0,70,16,122.42,79,0.02,Medium
895,1948,Doctorate,Married,61467.0,0,2,2012-12-09,69,410,16,114,0,5,49,3,5,2,10,5,3,11,0,2,77,17,37.89,69,0.01,Medium
1177,1966,Graduate,Together,49618.0,1,1,2013-01-26,77,80,3,26,4,2,14,4,3,1,3,7,3,11,0,2,59,7,8.43,77,0.0,Low
7141,1986,Graduate,Single,21888.0,1,0,2012-12-29,15,88,10,46,2,3,64,4,5,1,2,10,3,11,1,1,39,8,23.1,15,0.01,Very Low
7232,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,3,11,0,1,52,5,0.62,99,0.0,Low
8477,1956,Graduation,Divorced,26150.0,2,1,2013-03-11,61,5,1,13,3,5,1,1,1,0,3,7,3,11,0,3,69,4,4.75,61,0.0,Very Low
2457,1975,Primary,Married,30801.0,0,1,2012-10-26,23,8,4,5,15,2,11,2,1,0,3,7,3,11,0,1,50,4,11.85,23,0.0,Low
988,1965,Graduation,Married,81168.0,0,0,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,3,11,0,0,60,17,58.66,84,0.01,Medium
7930,1969,Graduate,Single,26877.0,0,0,2013-08-19,74,101,13,76,20,18,40,2,3,1,6,6,3,11,0,0,56,10,38.81,74,0.01,Very Low
4587,1944,Graduate,Widow,45006.0,0,0,2013-07-18,90,162,25,53,16,0,10,1,3,1,7,3,3,11,0,0,81,11,55.16,90,0.01,Low
6682,1973,Primary,Married,18978.0,1,0,2012-12-11,41,2,8,1,4,7,15,1,1,0,3,8,3,11,0,1,52,4,19.17,41,0.0,Very Low
6222,1967,Graduation,Married,22574.0,2,1,2013-10-28,28,25,0,8,2,0,2,2,2,0,3,7,3,11,0,3,58,5,0.7,28,0.0,Very Low
10299,1969,Doctorate,Single,48240.0,0,0,2012-11-09,73,389,91,248,64,49,41,3,6,3,13,5,3,11,1,0,56,22,220.32,73,0.02,Low
3083,1974,Graduation,Married,45837.0,1,1,2013-07-26,88,215,13,87,17,17,24,5,6,2,5,7,3,11,0,2,51,13,38.29,88,0.01,Low
8953,1965,Graduate,Single,35791.0,2,1,2013-05-06,94,27,0,5,0,0,3,2,1,0,3,8,3,11,0,3,60,4,0.19,94,0.0,Low
1503,1976,Doctorate,Together,162397.0,1,1,2013-06-03,31,85,1,16,2,1,2,0,0,0,1,1,3,11,0,2,49,1,3.33,31,0.0,Very High
8650,1978,Graduation,Widow,54162.0,1,1,2013-03-18,31,5,6,10,6,5,10,1,1,0,3,4,3,11,0,2,47,4,15.24,31,0.0,Low
10862,1960,Graduate,Married,30522.0,0,1,2012-08-17,6,179,8,83,19,11,26,5,1,2,9,2,3,11,0,1,65,12,26.54,6,0.01,Low
2782,1961,Doctorate,Married,54456.0,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,3,11,0,1,64,14,3.0,23,0.01,Low
6941,1971,Graduation,Single,31632.0,0,0,2013-07-14,92,17,8,12,11,15,32,1,2,1,2,7,3,11,0,0,54,5,23.64,92,0.0,Low
10972,1949,Graduation,Widow,72298.0,0,0,2014-03-10,52,625,35,169,58,17,35,1,4,3,6,1,3,11,0,0,76,13,93.53,52,0.01,Medium
10708,1978,2n Cycle,Single,36975.0,1,0,2013-12-28,50,10,6,11,0,4,2,1,1,0,3,7,3,11,0,1,47,4,13.74,50,0.0,Low
6583,1955,2n Cycle,Married,72635.0,0,0,2013-06-03,54,390,22,323,104,35,107,1,6,8,6,3,3,11,0,0,70,20,88.43,54,0.01,Medium
3641,1976,Graduation,Married,13624.0,1,0,2013-01-20,93,10,2,15,2,1,6,2,2,0,3,6,3,11,0,1,49,5,5.29,93,0.0,Very Low
10156,1975,Graduation,Single,84196.0,0,1,2013-06-03,56,215,63,507,231,31,190,1,8,4,7,3,3,11,0,1,50,19,201.31,56,0.01,Medium
4299,1960,Graduation,Together,70971.0,0,1,2012-09-21,28,1001,17,572,93,125,17,7,11,11,5,7,3,11,1,1,65,27,115.45,28,0.03,Medium
3469,1977,Doctorate,Divorced,34487.0,1,1,2012-09-06,94,19,18,33,24,1,8,3,3,0,3,9,3,11,0,2,48,6,42.36,94,0.0,Low
5063,1977,Graduation,Single,28769.0,1,0,2012-12-18,76,41,5,129,10,3,3,3,4,1,4,9,3,11,0,1,48,9,17.78,76,0.01,Very Low
10727,1970,Doctorate,Married,69084.0,1,0,2013-11-19,43,1181,107,199,39,30,30,2,7,3,13,8,3,11,0,1,55,23,239.17,43,0.02,Medium
9624,1958,Doctorate,Together,65488.0,0,0,2014-06-13,46,603,45,207,36,18,54,1,3,4,6,1,3,11,0,0,67,13,110.87,46,0.01,Medium
5156,1970,2n Cycle,Married,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,3,11,0,1,55,21,341.53,13,0.01,Medium
4376,1960,2n Cycle,Single,32218.0,0,0,2014-02-15,27,10,24,15,13,1,30,1,2,1,3,7,3,11,1,0,65,6,51.49,27,0.0,Low
8923,1973,Graduation,Single,83917.0,0,0,2013-04-18,12,514,22,732,42,198,79,1,6,7,7,3,3,11,1,0,52,20,145.51,12,0.02,Medium
8461,1962,Graduation,Divorced,46102.0,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,3,11,0,3,63,3,0.04,3,0.0,Low
6945,1952,Graduation,Single,84574.0,0,0,2013-06-04,72,387,20,713,38,54,163,1,9,11,11,5,3,11,0,0,73,31,92.01,72,0.02,Medium
944,1962,Graduation,Married,56181.0,0,1,2013-01-08,6,121,103,69,8,44,48,1,4,2,7,4,3,11,0,1,63,13,224.82,6,0.01,Low
1907,1950,Graduate,Divorced,63120.0,0,1,2012-09-28,53,965,69,279,54,41,69,5,8,4,9,7,3,11,1,1,75,21,172.8,53,0.02,Medium
701,1971,Graduation,Married,73691.0,0,1,2013-11-06,58,707,21,250,85,43,73,2,6,2,8,2,3,11,0,1,54,16,82.59,58,0.02,Medium
3856,1960,Graduation,Together,63381.0,0,1,2012-10-05,78,571,50,142,33,50,159,4,4,5,13,2,3,11,0,1,65,22,128.53,78,0.02,Medium
4149,1948,Doctorate,Together,76140.0,0,0,2014-05-13,57,586,66,653,17,0,26,1,5,9,6,2,3,11,0,0,77,20,159.59,57,0.02,Medium
2131,1959,Doctorate,Divorced,62859.0,0,1,2012-12-30,37,1063,89,102,16,12,25,4,9,4,6,6,3,11,0,1,66,19,188.98,37,0.02,Medium
2942,1964,Graduation,Single,45906.0,0,1,2013-05-07,20,305,3,27,4,3,144,2,5,4,4,5,3,11,0,1,61,13,8.8,20,0.01,Low
1173,1947,Graduate,Together,77632.0,0,0,2013-03-10,73,1200,105,758,0,42,147,1,4,2,6,2,3,11,1,0,78,12,252.07,73,0.03,Medium
4381,1971,Doctorate,Married,46463.0,1,1,2013-08-18,56,163,2,40,8,11,11,7,3,1,6,6,3,11,0,2,54,10,10.75,56,0.01,Low
4611,1970,Graduation,Together,105471.0,0,0,2013-01-21,36,1009,181,104,202,21,207,0,9,8,13,3,3,11,1,0,55,30,413.25,36,0.02,High
3376,1970,Graduate,Divorced,55282.0,1,0,2013-12-13,9,125,6,73,8,4,19,1,3,1,6,4,3,11,0,1,55,10,17.64,9,0.0,Low
4679,1977,Graduate,Married,78710.0,0,1,2014-05-23,42,721,0,152,119,50,50,3,7,6,12,4,3,11,0,1,48,25,46.1,42,0.01,Medium
10928,1958,Graduation,Together,66886.0,0,1,2013-09-16,28,315,4,62,41,31,146,2,7,1,7,5,3,11,0,1,67,15,28.83,28,0.01,Medium
4248,1960,Graduate,Single,98777.0,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,3,11,0,0,65,19,127.67,23,0.02,High
6728,1985,Graduation,Together,29103.0,1,0,2012-08-27,38,16,0,17,6,3,6,2,1,0,3,9,3,11,0,1,40,4,2.83,38,0.0,Very Low
6661,1974,Graduation,Married,67445.0,0,1,2012-08-12,63,757,80,217,29,80,11,5,9,6,12,6,3,11,0,1,51,27,200.5,63,0.02,Medium
4725,1950,Doctorate,Together,50616.0,0,1,2014-04-13,71,30,2,25,0,1,9,1,1,1,4,2,3,11,0,1,75,6,5.26,71,0.0,Low
3277,1955,Graduation,Divorced,49431.0,0,1,2012-08-03,9,219,3,100,26,0,17,2,7,1,5,8,3,11,0,1,70,13,14.9,9,0.01,Low
5555,1975,Graduation,Divorced,153924.0,0,0,2014-02-07,81,1,1,1,1,1,1,0,0,0,0,0,3,11,0,0,50,0,2.57,81,0.0,Very High
2564,1953,Graduation,Together,61278.0,0,1,2014-01-04,87,111,3,28,2,6,15,2,3,1,4,6,3,11,0,1,72,8,9.44,87,0.0,Medium
946,1958,2n Cycle,Together,26490.0,0,0,2012-09-22,92,45,47,52,21,20,25,2,3,1,5,6,3,11,0,0,67,9,106.79,92,0.01,Very Low
3867,1947,Doctorate,Together,73059.0,0,1,2013-08-31,36,410,112,420,0,82,71,1,9,3,13,4,3,11,0,1,78,25,266.89,36,0.01,Medium
6940,1966,Doctorate,Single,46734.0,1,2,2013-10-21,86,100,1,39,6,1,76,4,3,2,3,6,3,11,0,3,59,8,4.98,86,0.0,Low
55,1963,Graduation,Together,56253.0,0,1,2012-12-07,83,509,0,65,7,11,5,4,7,2,9,6,3,11,0,1,62,18,7.47,83,0.01,Low
7093,1985,Graduation,Married,19986.0,1,0,2013-11-14,74,3,6,5,0,2,6,1,0,0,3,7,3,11,0,1,40,3,12.85,74,0.0,Very Low
5084,1975,Graduation,Widow,58330.0,0,1,2013-12-25,87,445,53,213,104,98,151,1,6,4,13,4,3,11,0,1,50,23,167.36,87,0.02,Low
1777,1980,Primary,Married,25965.0,0,0,2012-09-07,29,2,2,11,41,7,11,1,2,0,3,8,3,11,0,0,45,5,14.94,29,0.0,Very Low
8162,1956,Graduate,Together,14661.0,0,0,2013-01-01,88,4,1,11,6,2,2,1,1,0,3,6,3,11,0,0,69,4,4.27,88,0.0,Very Low
10826,1959,Graduation,Married,18690.0,0,0,2012-12-28,77,6,1,7,23,4,19,1,1,1,2,8,3,11,0,0,66,4,8.19,77,0.0,Very Low
8754,1974,Doctorate,Together,45068.0,0,1,2013-05-16,25,14,0,3,0,0,3,1,1,0,2,7,3,11,0,1,51,3,0.11,25,0.0,Low
1987,1987,Primary,Single,21063.0,1,0,2013-09-25,34,1,10,11,19,3,15,2,2,0,3,6,3,11,0,1,38,5,25.21,34,0.0,Very Low
11007,1968,Doctorate,Married,29187.0,1,0,2013-05-09,43,26,0,6,0,0,2,1,1,0,3,8,3,11,0,1,57,4,0.22,43,0.0,Very Low
7426,1971,2n Cycle,Married,54690.0,1,1,2013-11-07,76,111,16,37,7,9,18,3,3,1,5,3,3,11,0,2,54,9,37.77,76,0.0,Low
9153,1964,Doctorate,Married,59304.0,0,1,2013-07-29,81,418,61,428,80,51,10,3,7,8,10,5,3,11,0,1,61,25,170.85,81,0.02,Low
10379,1962,Graduate,Single,59247.0,0,2,2013-11-08,87,327,9,122,19,14,83,5,5,2,9,6,3,11,0,2,63,16,30.99,87,0.01,Low
9204,1970,Graduation,Widow,66731.0,0,1,2012-09-12,33,371,159,194,58,106,141,4,4,3,6,3,3,11,0,1,55,13,372.12,33,0.02,Medium
3197,1980,Graduation,Married,77353.0,0,1,2013-12-16,38,275,59,107,69,101,59,2,6,4,8,4,3,11,0,1,45,18,169.43,38,0.01,Medium
2920,1975,Doctorate,Single,52614.0,0,1,2012-12-01,63,789,0,142,12,9,38,2,2,4,8,8,3,11,0,1,50,14,10.66,63,0.02,Low
6961,1974,Graduation,Married,26751.0,2,0,2014-05-22,26,1,1,5,0,3,1,1,1,0,2,8,3,11,0,2,51,3,3.19,26,0.0,Very Low
4673,1963,Doctorate,Married,81300.0,0,1,2012-10-30,17,1004,12,145,32,12,36,3,10,3,5,5,3,11,1,1,62,18,39.77,17,0.02,Medium
9937,1979,Graduation,Single,70337.0,0,0,2014-01-02,75,187,81,149,25,43,91,1,2,2,12,1,3,11,0,0,46,16,186.85,75,0.01,Medium
8779,1985,2n Cycle,Married,36145.0,1,0,2013-06-16,13,56,4,76,17,1,18,4,4,1,3,9,3,11,1,1,40,8,14.55,13,0.0,Low
9596,1980,Doctorate,Single,65295.0,0,0,2013-12-23,19,365,32,117,34,110,6,1,3,3,13,2,3,11,0,0,45,19,111.8,19,0.01,Medium
2891,1963,Graduation,Divorced,68118.0,0,1,2013-10-18,51,595,23,123,10,23,154,2,8,9,4,6,3,11,0,1,62,21,60.22,51,0.01,Medium
4910,1967,Graduation,Divorced,68743.0,0,0,2012-08-30,81,1132,134,384,175,134,115,1,11,5,13,7,3,11,0,0,58,29,361.89,81,0.03,Medium
75,1982,2n Cycle,Together,41039.0,0,0,2013-07-25,32,34,11,137,179,61,45,1,8,1,5,8,3,11,0,0,43,14,83.21,32,0.01,Low
10120,1955,Graduation,Together,38946.0,0,1,2013-10-24,84,116,6,82,6,6,41,2,3,1,6,5,3,11,0,1,70,10,18.24,84,0.01,Low
6327,1967,Graduation,Together,65777.0,0,0,2013-12-19,87,565,32,435,28,32,54,1,2,8,6,1,3,11,0,0,58,16,96.38,87,0.02,Medium
10142,1976,Doctorate,Divorced,66476.0,0,1,2013-03-07,99,372,18,126,47,48,78,2,5,2,11,4,3,11,0,1,49,18,66.07,99,0.01,Medium
9826,1972,Doctorate,Single,86857.0,0,0,2012-09-12,96,899,102,838,133,102,40,1,5,6,10,2,3,11,1,0,53,21,295.64,96,0.02,Medium
1501,1982,Doctorate,Married,160803.0,0,0,2012-08-04,21,55,16,1622,17,3,4,15,0,28,1,0,3,11,0,0,43,29,96.47,21,0.01,Very High
10767,1989,Doctorate,Together,77845.0,0,0,2014-05-16,40,760,40,480,0,40,26,1,3,5,12,1,3,11,0,0,36,20,111.11,40,0.02,Medium
7279,1969,Doctorate,Together,69476.0,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,3,11,0,0,56,14,208.3,3,0.02,Medium
7230,1960,Doctorate,Divorced,50611.0,0,1,2012-10-04,98,459,0,24,6,0,4,6,4,5,7,6,3,11,1,1,65,16,2.09,98,0.01,Low
143,1970,Graduation,Single,61209.0,0,0,2013-08-25,73,466,0,224,119,49,99,1,5,3,4,2,3,11,0,0,55,12,48.43,73,0.02,Medium
450,1958,Graduate,Together,42315.0,0,1,2013-07-12,90,67,15,80,17,11,80,3,1,4,4,3,3,11,0,1,67,9,40.03,90,0.01,Low
9316,1952,Primary,Together,13084.0,0,0,2013-11-02,29,2,0,7,3,7,10,1,1,0,3,6,3,11,0,0,73,4,3.19,29,0.0,Very Low
6379,1949,Graduate,Widow,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,3,11,1,2,76,6,3.41,3,0.0,Low
9239,1961,Graduate,Married,61923.0,0,2,2013-07-26,94,92,4,18,3,3,6,1,2,1,4,3,3,11,0,2,64,7,10.27,94,0.0,Medium
8315,1995,Graduation,Single,34824.0,0,0,2014-03-26,65,4,2,11,2,0,4,1,1,0,2,6,3,11,0,0,30,3,4.81,65,0.0,Low
2868,1949,Doctorate,Single,26518.0,1,1,2013-04-08,33,20,1,28,3,3,2,3,2,0,3,8,3,11,1,2,76,5,4.64,33,0.0,Very Low
10888,1961,Graduation,Single,45938.0,0,0,2013-11-03,46,273,11,178,62,83,29,2,8,4,6,6,3,11,0,0,64,18,68.66,46,0.01,Low
1277,1960,Graduation,Together,78468.0,0,0,2014-04-09,29,434,22,388,104,22,34,1,10,7,10,4,3,11,0,0,65,27,86.5,29,0.01,Medium
9977,1973,Graduation,Divorced,78901.0,0,1,2013-09-17,99,321,11,309,33,26,34,3,9,3,5,4,3,11,0,1,52,17,48.71,99,0.01,Medium
10196,1978,Graduation,Married,71427.0,2,0,2014-03-12,26,212,123,177,15,64,23,2,8,2,8,4,3,11,0,2,47,18,276.89,26,0.01,Medium
6384,1978,Graduation,Divorced,71022.0,0,1,2014-02-11,30,909,12,278,0,12,242,3,5,2,11,8,3,11,0,1,47,18,38.3,30,0.02,Medium
8029,1988,Graduate,Single,90247.0,0,0,2014-04-29,27,1184,32,352,21,16,16,1,3,4,7,1,3,11,1,0,37,14,86.57,27,0.02,High
968,1968,Graduate,Divorced,41335.0,1,0,2013-12-26,24,112,19,21,16,14,5,3,4,1,4,7,3,11,0,1,57,9,46.64,24,0.0,Low
6988,1986,Graduation,Married,71952.0,1,0,2013-01-10,93,656,80,455,52,107,93,2,8,4,8,4,3,11,0,1,39,20,222.92,93,0.02,Medium
4472,1970,Doctorate,Divorced,35682.0,1,0,2014-06-27,34,23,0,8,6,2,18,1,1,1,3,2,3,11,0,1,55,5,2.16,34,0.0,Low
6991,1951,Graduation,Divorced,43185.0,0,1,2013-04-10,88,537,6,42,16,6,30,2,9,3,6,8,3,11,0,1,74,18,18.76,88,0.01,Low
3336,1948,Doctorate,Together,66375.0,0,1,2013-11-21,96,712,0,45,0,0,191,3,2,4,5,7,3,11,0,1,77,11,1.67,96,0.01,Medium
4301,1971,Graduate,Married,35178.0,1,0,2013-01-10,10,23,1,13,2,2,18,1,1,1,2,7,3,11,1,1,54,4,3.55,10,0.0,Low
1940,1986,Graduation,Married,25252.0,1,0,2013-07-12,26,1,3,4,2,2,6,1,1,0,2,8,3,11,0,1,39,3,7.21,26,0.0,Very Low
1272,1965,Graduate,Single,55250.0,0,1,2012-10-21,49,664,58,83,32,0,66,4,7,5,10,5,3,11,0,1,60,22,125.47,49,0.02,Low
1388,1975,Graduation,Single,33249.0,1,0,2013-02-20,11,6,10,21,19,14,42,2,2,1,3,6,3,11,0,1,50,6,29.24,11,0.0,Low
1044,1953,Graduation,Together,58398.0,0,0,2013-05-14,44,299,5,201,21,21,49,3,5,4,8,4,3,11,0,0,72,17,28.64,44,0.01,Low
6969,1982,Graduation,Together,50272.0,1,0,2013-08-07,75,99,13,66,43,8,4,3,4,1,5,7,3,11,0,1,43,10,39.71,75,0.0,Low
10479,1975,Doctorate,Married,76618.0,0,0,2012-12-07,64,749,40,294,121,160,147,1,3,2,5,1,3,11,0,0,50,10,168.42,64,0.02,Medium
3619,1960,2n Cycle,Divorced,87305.0,0,0,2012-09-23,19,345,25,501,63,138,80,1,5,3,8,2,3,11,1,0,65,16,127.16,19,0.01,Medium
1715,1978,Graduation,Together,25851.0,1,0,2013-02-11,45,9,4,18,7,5,5,2,2,0,3,7,3,11,0,1,47,5,11.73,45,0.0,Very Low
10159,1970,Graduation,Divorced,58710.0,0,1,2013-03-31,77,440,81,368,0,122,174,6,11,5,9,6,3,11,0,1,55,25,216.3,77,0.02,Low
1463,1958,Graduation,Single,45160.0,1,1,2014-03-29,9,8,2,5,3,0,3,1,1,0,2,7,3,11,0,2,67,3,4.79,9,0.0,Low
5114,1965,Graduate,Married,74806.0,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,3,11,0,1,60,14,36.56,1,0.01,Medium
4990,1954,Graduation,Married,59111.0,0,0,2013-05-02,90,524,0,134,28,28,155,1,11,1,8,7,3,11,0,0,71,20,19.9,90,0.01,Low
4329,1984,Doctorate,Married,18988.0,1,0,2014-05-23,43,6,0,6,2,1,1,2,1,0,3,7,3,11,0,1,41,4,0.96,43,0.0,Very Low
10936,1965,Graduation,Married,72190.0,0,0,2013-02-13,79,597,166,597,172,166,249,1,5,6,4,3,3,11,0,0,60,15,443.84,79,0.03,Medium
4692,1976,Graduation,Married,7500.0,1,0,2012-08-01,19,7,0,12,13,7,32,5,4,1,2,9,3,11,1,1,49,7,5.38,19,0.01,Very Low
7212,1966,Graduation,Married,44794.0,0,1,2014-06-08,99,54,0,7,0,0,4,1,2,0,3,6,3,11,0,1,59,5,0.26,99,0.0,Low
6086,1955,Graduation,Married,80395.0,0,0,2013-11-23,62,445,25,706,80,76,48,1,6,5,12,2,3,11,0,0,70,23,117.48,62,0.02,Medium
